year,id,country,date,tournament_stage,mp,fg,fga,x3p,x3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,results,mov,fg_p,x3P_p,ft_p,tsa,ts_p,efg_p,tov_p
2014,2014083123,turkey,2014-08-31,Group Play,200,26,56,9,24,16,25,7,31,17,2,5,27,22,77,L,21,0.4642857142857143,0.375,0.64,67,0.5746268656716418,0.5446428571428571,28.72340425531915
2014,2014083123,united states,2014-08-31,Group Play,200,39,74,8,22,12,19,9,29,21,17,4,11,23,98,W,21,0.527027027027027,0.36363636363636365,0.631578947368421,82.36,0.5949490043710539,0.581081081081081,11.782347900599829
2014,2014090124,egypt,2014-09-01,Group Play,200,22,67,7,21,4,6,5,20,10,7,0,9,20,55,L,39,0.3283582089552239,0.3333333333333333,0.6666666666666666,69.64,0.3948879954049397,0.3805970149253731,11.444557477110886
2014,2014090124,france,2014-09-01,Group Play,200,38,58,7,18,11,19,3,37,31,6,4,12,9,94,W,39,0.6551724137931034,0.3888888888888889,0.5789473684210527,66.36,0.7082579867389994,0.7155172413793104,15.313935681470138
2014,2014090125,greece,2014-09-01,Group Play,200,34,64,5,15,17,26,12,37,21,5,3,11,24,90,W,11,0.53125,0.3333333333333333,0.6538461538461539,75.44,0.5965005302226936,0.5703125,12.725590004627488
2014,2014090125,puerto rico,2014-09-01,Group Play,200,24,62,6,18,25,31,14,34,10,6,2,11,25,79,L,11,0.3870967741935484,0.3333333333333333,0.8064516129032258,75.64,0.5222104706504495,0.43548387096774194,12.696214219759925
2014,2014090126,argentina,2014-09-01,Group Play,200,29,69,15,38,12,16,13,34,17,10,0,8,17,85,W,4,0.42028985507246375,0.39473684210526316,0.75,76.04,0.5589163598106259,0.5289855072463768,9.51927653498334
2014,2014090126,philippines,2014-09-01,Group Play,200,31,61,13,27,6,8,7,34,9,4,3,15,19,81,L,4,0.5081967213114754,0.48148148148148145,0.75,64.52,0.6277123372597645,0.6147540983606558,18.86317907444668
2014,2014090127,croatia,2014-09-01,Group Play,200,24,56,7,26,20,28,7,26,16,4,1,10,23,75,L,2,0.42857142857142855,0.2692307692307692,0.7142857142857143,68.32,0.5488875878220141,0.49107142857142855,12.768130745658837
2014,2014090127,senegal,2014-09-01,Group Play,200,24,53,7,15,22,27,8,29,14,8,6,13,28,77,W,2,0.4528301886792453,0.4666666666666667,0.8148148148148148,64.88,0.5934032059186191,0.5188679245283019,16.69234720082178
